(venv) gillian@LAPTOP-UPHBAHQF:~/volatility/volatility3$ python3 vol.py -f OtterCTF.vmem windows.procdump_custom.ProcdumpCustom --dump-dir dumps --pid 2728
Volatility 3 Framework 2.26.2
[DEBUG] PROCDUMP.PY CHARGÉ ✅
WARNING  volatility3.framework.layers.vmware: No metadata file found alongside VMEM file. A VMSS or VMSN file may be required to correctly process a VMEM file. These should be placed in the same directory with the same file name, e.g. OtterCTF.vmem and OtterCTF.vmss.
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7feeea20000-7feeea29fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7feeec90000-7feeecacfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7feeee20000-7feeee58fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7feeed10000-7feeedd1fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7feeede0000-7feeee1efff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7feeee80000-7feef03cfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7feeee60000-7feeee7efff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7feef040000-7feef05ffff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7feefbb0000-7feefd89fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7feef500000-7feef5b9fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7feef3d0000-7feef443fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7feef3b0000-7feef3c5fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7feef490000-7feef4f8fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7feef680000-7feef81bfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7feef5c0000-7feef602fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7feefaa0000-7feefba8fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fef0030000-7fef02d2fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7feefd90000-7feefe55fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7feeff70000-7feeffaafff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fef0300000-7fef0317fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fef02f0000-7fef02fcfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fef0320000-7fef040dfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fef2fc0000-7fef307cfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fef0bb0000-7fef0bbefff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fef0790000-7fef07cafff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fef0680000-7fef06fefff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fef0650000-7fef0656fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fef0730000-7fef074efff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fef07d0000-7fef07f3fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fef0ba0000-7fef0baafff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fef1ac0000-7fef1b30fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fef16f0000-7fef180efff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fef1360000-7fef1551fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fef0bc0000-7fef0bd8fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fef1a80000-7fef1abafff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fef1f00000-7fef2ab6fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fef1ea0000-7fef1ef3fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fef2f30000-7fef2fabfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fef6d40000-7fef6d6dfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fef4960000-7fef49d3fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fef34d0000-7fef34dbfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fef3080000-7fef30a7fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fef3d90000-7fef3ddbfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fef6ce0000-7fef6cfafff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fef6d00000-7fef6d34fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefa870000-7fefa8f2fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fef9a10000-7fef9a27fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefa900000-7fefa97ffff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefa980000-7fefa993fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefb940000-7fefb94afff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefb4a0000-7fefb4b7fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefb2a0000-7fefb2eefff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefb180000-7fefb1b3fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefaf90000-7fefafa4fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefadd0000-7fefaef9fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefafb0000-7fefafbbfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefb280000-7fefb290fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefb220000-7fefb237fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefb440000-7fefb44afff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefb3d0000-7fefb404fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefb450000-7fefb476fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefb710000-7fefb74afff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefb510000-7fefb58dfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefb4e0000-7fefb4f0fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefb4d0000-7fefb4dffff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefb500000-7fefb50afff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefb700000-7fefb708fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefb5d0000-7fefb6f6fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefb890000-7fefb8cafff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefb750000-7fefb784fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefb8d0000-7fefb936fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefbe70000-7fefbf9bfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefbd60000-7fefbd78fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefb960000-7fefbb74fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefb950000-7fefb95bfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefbd00000-7fefbd55fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefbe20000-7fefbe2bfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefbde0000-7fefbdfcfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefbdc0000-7fefbdd4fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefbe00000-7fefbe09fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefbe40000-7fefbe6cfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefbff0000-7fefc01bfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefbfa0000-7fefbfeafff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefc2d0000-7fefc2dafff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefc0d0000-7fefc2c3fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefc2e0000-7fefc2e7fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefec90000-7fefed6afff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefd790000-7fefd7a9fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefd170000-7fefd192fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefc790000-7fefc79bfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefc410000-7fefc41bfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefc3e0000-7fefc3e8fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefcbd0000-7fefcc16fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefc9a0000-7fefc9b1fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefc980000-7fefc99dfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefcad0000-7fefcad9fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefced0000-7fefcee6fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefd0e0000-7fefd14cfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefd530000-7fefd53efff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefd4a0000-7fefd4c4fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefd450000-7fefd45afff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefd4d0000-7fefd526fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefd600000-7fefd63cfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefd5e0000-7fefd5f3fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefd540000-7fefd5d0fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefd640000-7fefd64efff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefd6e0000-7fefd6eefff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefe7f0000-7fefe967fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefd960000-7fefd9cafff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefd920000-7fefd955fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefd7b0000-7fefd916fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefda10000-7fefe797fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefd9d0000-7fefda09fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefe7a0000-7fefe7ecfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefea00000-7fefea70fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefe9d0000-7fefe9e6fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefe970000-7fefe9c1fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefe9f0000-7fefe9f7fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefeb50000-7fefec79fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefea80000-7fefeb48fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefec80000-7fefec8dfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffff94000-7fffff95fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7feff750000-7feff7eefff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7feff4b0000-7feff4ddfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7feff2c0000-7feff2defff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefede0000-7feff038fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fefed70000-7fefedd6fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7feff0e0000-7feff2b6fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7feff380000-7feff4acfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7feff2e0000-7feff378fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7feff670000-7feff746fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7feff560000-7feff668fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffff80000-7fffff81fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffff74000-7fffff75fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7feffa10000-7feffa10fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7feff7f0000-7feff9f2fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffff7c000-7fffff7dfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffff7e000-7fffff7ffff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffff8a000-7fffff8bfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffff84000-7fffff85fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffff82000-7fffff83fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffff88000-7fffff89fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffff86000-7fffff87fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffff8e000-7fffff8ffff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffff8c000-7fffff8dfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffff90000-7fffff91fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffff92000-7fffff93fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffffa6000-7fffffa7fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffff9e000-7fffff9ffff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffff9a000-7fffff9bfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffff98000-7fffff99fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffff96000-7fffff97fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffff9c000-7fffff9dfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffffa2000-7fffffa3fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffffa0000-7fffffa1fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffffa4000-7fffffa5fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffffd5000-7fffffd6fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffffac000-7fffffadfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffffaa000-7fffffabfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffffa8000-7fffffa9fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffffb0000-7fffffd2fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffffae000-7fffffaffff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffffd3000-7fffffd4fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffffdb000-7fffffdcfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffffd9000-7fffffdafff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffffd7000-7fffffd8fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffffdd000-7fffffdefff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7fffffdf000-7fffffdffff.dmp
